ACCx,, ACCy, ACCz, GYRx, GYRy, GYRz, Temp(*C), Pressure(Pa), Altitude(m), Sealevel Pressure(Pa),
253,189.75,6,13,4,15,-3,27.5,99903,119.2349111,99898,1011
255,238.6875,3,12,6,12,-5,27.5,99900,118.9822715,99909,
252,248.671875,6,14,4,8,-8,27.5,99907,118.8138485,99906,
253,251.9179688,7,14,9,12,-7,27.5,99904,119.066484,99903,
254,253.4794922,6,13,5,14,-1,27.5,99909,119.066484,99909,
253,253.119873,6,14,8,11,-7,27.5,99907,118.8138485,99906,
256,255.2799683,5,15,7,9,-6,27.4,99903,118.8138485,99909,
254,254.3199921,6,13,6,12,-4,27.4,99895,119.2349111,99910,
253,253.329998,7,14,7,11,-8,27.5,99901,118.5612191,99904,
254,253.8324995,6,15,11,8,-7,27.4,99903,118.4770107,99910,
252,252.4581249,8,14,7,11,-4,27.4,99907,118.729638,99909,
253,252.8645312,8,12,8,7,-8,27.4,99906,118.729638,99909,
253,252.9661328,7,14,4,8,-3,27.5,99903,118.8138485,99906,
253,252.9915332,6,14,10,15,0,27.4,99893,119.2349111,99906,
253,252.9978833,8,14,7,9,-5,27.4,99901,119.8244274,99904,
255,254.4994708,10,12,8,13,-2,27.4,99907,118.8138485,99906,
253,253.3748677,6,13,10,13,-1,27.4,99906,118.9822715,99910,
254,253.8437169,7,13,9,9,2,27.4,99900,119.066484,99901,
254,253.9609292,6,12,5,14,-6,27.4,99907,119.2349111,99904,
253,253.2402323,7,14,7,12,2,27.4,99909,118.4770107,99909,
254,253.8100581,6,13,8,12,-5,27.4,99903,119.2349111,99909,
254,253.9525145,6,13,7,13,-7,27.4,99900,118.729638,99910,
254,253.9881286,6,13,9,7,-5,27.4,99897,118.8138485,99903,
258,256.9970322,5,16,7,11,-1,27.5,99906,118.8138485,99906,
254,254.749258,4,13,6,8,-2,27.4,99903,118.8138485,99904,
253,253.4373145,6,14,6,12,-5,27.4,99897,118.9822715,99903,
254,253.8593286,5,14,9,11,-7,27.4,99897,118.729638,99904,
253,253.2148322,6,14,10,11,-5,27.4,99901,119.066484,99904,
252,252.303708,7,15,6,16,-7,27.4,99909,118.3085959,99898,
253,252.825927,7,14,10,6,-6,27.5,99906,118.5612191,99910,
254,253.7064818,6,14,7,12,-2,27.4,99901,119.066484,99904,
251,251.6766204,6,17,10,11,0,27.4,99912,118.5612191,99910,
249,249.6691551,7,16,7,12,0,27.4,99898,118.9822715,99901,
254,252.9172888,8,12,10,10,-4,27.4,99904,118.4770107,99904,
252,252.2293222,7,13,10,10,-3,27.4,99906,118.8138485,99910,
253,252.8073305,6,13,7,14,-5,27.5,99900,119.066484,99903,
257,255.9518326,6,14,9,8,-3,27.5,99906,118.729638,99903,
253,253.7379582,6,14,5,13,-5,27.5,99904,118.729638,99907,
254,253.9344895,6,13,4,15,-4,27.4,99901,118.9822715,99910,
253,253.2336224,6,14,7,14,-2,27.5,99900,119.2349111,99906,
255,254.5584056,4,13,6,12,0,27.4,99904,118.5612191,99904,
255,254.8896014,6,13,9,11,-1,27.4,99901,119.2349111,99904,
252,252.7224003,6,15,9,10,-5,27.4,99907,119.3191257,99904,
253,252.9306001,6,15,8,8,-5,27.4,99895,118.9822715,99903,
254,253.73265,6,13,8,9,-7,27.4,99907,119.2349111,99904,
253,253.1831625,6,15,7,12,-2,27.4,99898,118.8138485,99907,
254,253.7957906,8,11,8,13,1,27.4,99901,119.8244274,99897,
253,253.1989477,6,13,8,11,-3,27.4,99904,119.2349111,99904,
254,253.7997369,5,14,10,9,-11,27.4,99900,119.3191257,99898,
254,253.9499342,5,14,10,10,-5,27.4,99900,119.4875569,99897,
251,251.7374836,7,15,8,11,-5,27.4,99909,119.3191257,99904,
254,253.4343709,5,14,10,9,-6,27.4,99901,119.3191257,99906,
253,253.1085927,6,14,6,9,-3,27.4,99906,118.9822715,99906,
254,253.7771482,6,14,7,12,-4,27.4,99910,118.729638,99901,
255,254.694287,8,12,9,9,-9,27.4,99912,118.5612191,99906,
254,254.1735718,6,13,10,9,-2,27.5,99906,119.4875569,99903,
254,254.0433929,5,13,10,11,-4,27.5,99904,118.9822715,99906,
253,253.2608482,6,14,8,13,-3,27.5,99909,118.8138485,99910,
252,252.3152121,6,13,5,9,-6,27.4,99903,119.3191257,99900,
253,252.828803,7,14,5,9,-5,27.4,99907,118.8138485,99906,
253,252.9572008,7,13,9,12,-5,27.4,99898,119.066484,99897,
253,252.9893002,6,13,11,13,-5,27.4,99897,119.3191257,99898,
253,252.997325,5,13,9,8,-2,27.4,99895,119.3191257,99901,
253,252.9993313,7,13,10,12,-3,27.4,99906,119.4875569,99901,
254,253.7498328,8,13,8,11,-4,27.4,99904,119.066484,99898,
254,253.9374582,5,13,7,12,-3,27.4,99900,118.9822715,99904,
253,253.2343646,6,14,9,11,-4,27.4,99901,119.2349111,99904,
253,253.0585911,6,13,9,11,-8,27.4,99903,119.2349111,99904,
253,253.0146478,6,13,9,8,-3,27.4,99901,119.066484,99895,
253,253.0036619,7,14,11,14,-4,27.4,99893,118.8138485,99901,
254,253.7509155,9,12,6,10,-2,27.4,99904,119.3191257,99895,
254,253.9377289,7,11,4,13,-5,27.4,99897,119.3191257,99897,
252,252.4844322,7,14,9,6,-3,27.4,99909,118.8138485,99903,
254,253.6211081,7,13,6,9,-6,27.4,99906,119.4875569,99903,
253,253.155277,7,13,7,11,-2,27.4,99907,119.8244274,99898,
253,253.0388193,6,14,8,13,-1,27.4,99903,119.3191257,99900,
253,253.0097048,6,14,7,14,-6,27.4,99898,119.2349111,99900,
253,253.0024262,6,14,5,11,-2,27.4,99903,119.2349111,99903,
253,253.0006066,7,12,6,12,-3,27.4,99906,119.2349111,99903,
253,253.0001516,6,13,6,8,-5,27.4,99904,119.066484,99901,
255,254.5000379,6,14,9,13,-4,27.4,99900,118.729638,99898,
253,253.3750095,7,14,7,13,-1,27.4,99906,119.066484,99903,
254,253.8437524,6,14,6,12,1,27.4,99901,118.8138485,99909,
253,253.2109381,6,14,6,10,-2,27.4,99904,118.8138485,99906,
248,249.3027345,7,18,11,13,-6,27.4,99910,119.2349111,99901,
252,251.3256836,7,13,8,17,-8,27.4,99904,118.8138485,99897,
253,252.5814209,6,15,11,9,-1,27.4,99903,118.729638,99906,
254,253.6453552,6,14,9,13,-6,27.4,99909,119.3191257,99904,
253,253.1613388,6,13,5,11,-6,27.4,99898,119.2349111,99900,
253,253.0403347,7,13,8,9,-4,27.4,99904,119.4875569,99901,
254,253.7600837,6,15,9,6,-3,27.4,99903,118.9822715,99904,
253,253.1900209,6,13,8,9,-6,27.4,99903,119.066484,99904,
253,253.0475052,6,13,10,13,-6,27.4,99898,118.9822715,99906,
253,253.0118763,8,9,9,12,-6,27.4,99909,119.7402088,99901,
253,253.0029691,5,14,6,12,-4,27.4,99901,119.066484,99897,
253,253.0007423,6,14,8,14,-2,27.4,99898,119.8244274,99895,
252,252.2501856,6,14,7,10,-3,27.4,99904,119.7402088,99907,
254,253.5625464,5,13,6,8,1,27.4,99903,119.7402088,99904,
256,255.3906366,8,13,10,6,-5,27.4,99901,119.066484,99901,
254,254.3476591,5,13,6,11,-5,27.4,99898,119.2349111,99901,
253,253.3369148,6,13,8,11,0,27.4,99898,118.9822715,99897,
247,248.5842287,6,20,9,12,-2,27.4,99903,119.3191257,99901,
249,248.8960572,6,18,9,7,-6,27.4,99895,119.3191257,99903,
251,250.4740143,6,16,7,13,-2,27.4,99891,119.066484,99907,
254,253.1185036,5,14,7,6,-4,27.4,99904,119.3191257,99904,
253,253.0296259,7,13,8,11,0,27.4,99897,119.2349111,99900,
253,253.0074065,6,13,6,5,-1,27.4,99895,119.066484,99906,
254,253.7518516,7,15,7,14,-4,27.4,99901,119.8244274,99907,
252,252.4379629,5,15,9,7,-3,27.4,99900,119.066484,99900,
254,253.6094907,6,14,11,13,-3,27.4,99901,119.066484,99903,
254,253.9023727,5,14,11,11,-3,27.4,99904,118.729638,99907,
254,253.9755932,7,15,5,11,-6,27.4,99901,119.066484,99900,
254,253.9938983,6,14,8,10,-3,27.4,99894,118.729638,99901,
254,253.9984746,6,15,6,12,-2,27.4,99906,118.9822715,99912,
253,253.2496186,8,14,8,9,-5,27.4,99903,118.9822715,99901,
255,254.5624047,8,10,10,10,-5,27.4,99898,119.4875569,99898,
253,253.3906012,7,14,10,10,-2,27.4,99901,118.8138485,99898,
253,253.0976503,6,13,5,12,-4,27.4,99903,118.9822715,99900,
253,253.0244126,7,13,6,7,-2,27.5,99903,118.8138485,99909,
253,253.0061031,7,14,5,12,-4,27.5,99904,118.8138485,99900,
253,253.0015258,6,11,6,10,-3,27.5,99910,119.066484,99906,
252,252.2503814,8,14,5,13,-5,27.5,99906,118.8138485,99901,
253,252.8125954,6,14,8,10,-6,27.5,99907,119.066484,99912,
252,252.2031488,5,13,5,12,-4,27.5,99909,118.3085959,99900,
254,253.5507872,6,13,8,8,-6,27.5,99909,118.9822715,99906,
254,253.8876968,6,14,11,12,-5,27.5,99897,118.4770107,99907,
251,251.7219242,7,14,6,11,-5,27.5,99895,119.3191257,99903,
254,253.4304811,6,14,10,10,-5,27.5,99900,119.066484,99910,
255,254.6076203,5,14,9,8,-5,27.5,99907,118.4770107,99904,
253,253.4019051,6,14,7,13,-2,27.5,99909,118.9822715,99904,
253,253.1004763,5,13,9,7,0,27.5,99904,119.3191257,99910,
253,253.0251191,7,14,8,10,-2,27.5,99907,118.8138485,99900,
252,252.2562798,6,14,10,6,-6,27.5,99910,118.9822715,99909,
253,252.8140699,6,13,8,11,-7,27.5,99903,118.5612191,99910,
254,253.7035175,6,13,5,8,-4,27.5,99907,118.8138485,99907,
252,252.4258794,7,13,5,10,-2,27.5,99904,118.8138485,99909,
255,254.3564698,6,14,4,13,-6,27.5,99901,118.5612191,99907,
254,254.0891175,4,14,11,9,-7,27.5,99898,119.066484,99898,
253,253.2722794,7,12,8,10,-6,27.5,99906,118.8138485,99904,
254,253.8180698,7,15,7,14,-3,27.5,99910,118.5612191,99900,
253,253.2045175,4,11,8,12,-6,27.5,99906,119.4875569,99903,
246,247.8011294,7,17,10,10,-3,27.5,99900,119.2349111,99907,
254,252.4502823,4,14,8,12,-3,27.5,99904,118.729638,99900,
253,252.8625706,6,15,8,12,-5,27.5,99910,118.3085959,99909,
253,252.9656426,7,13,7,14,-4,27.5,99907,118.729638,99907,
254,253.7414107,6,14,10,5,-4,27.5,99901,119.3191257,99904,
253,253.1853527,7,12,6,8,-4,27.5,99907,118.5612191,99906,
